"section","metric","unit","efficient_case","base_case","stress_case","formula_or_method","evidence_or_benchmark","classification"
"Storage/egress","Source and derived storage plus egress","INR/family/year","15","40","120","Marginal allowance; fixed platform allocation is separate","Supabase includes 100 GB on Pro then lists storage at USD 0.0213/GB-month: https://supabase.com/pricing ; actual image size/retention/egress must be measured","ASSUMPTION"
"Human operations","Adult QC minutes per new chapter","minutes","2","4","10","Reviewer scans coverage citations rubric and risky items","Founder concierge requirement; time study needed","ASSUMPTION"
"Human operations","Reviewer loaded hourly cost","INR/hour","300","300","300","Part-time trained reviewer assumption","Recruiting benchmark required","ASSUMPTION"
"Human operations","Annual adult QC cost","INR/family/year","180","480","1800","chapters times minutes divided by 60 times hourly cost","Calculated","CALCULATION"
"Human operations","Support hours per family per year","hours","0.5","1","3","Onboarding upload/payment/question disputes","Measure support logs","ASSUMPTION"
"Human operations","Support loaded hourly cost","INR/hour","300","300","300","Founder/reviewer shadow cost","Founder time has opportunity cost even if not paid in cash","ASSUMPTION"
"Human operations","Annual support cost","INR/family/year","150","300","900","hours times hourly cost","Calculated","CALCULATION"
"Platform","Allocated hosting database monitoring and transactional services","INR/family/year","80","150","300","Fixed cost allocation at scenario scale; excludes AI/OCR counted above","Supabase Pro begins at USD 25/month: https://supabase.com/pricing ; hosting stack requires benchmark","ASSUMPTION"
"Payments","Domestic payment fee including GST on fee","percent of revenue","2.36","2.36","2.36","2 percent platform fee times 1.18 GST","Razorpay lists 2% platform fee plus 18% GST: https://razorpay.com/pricing/","BENCHMARK"
"Payments","Annual payment cost","INR/family/year","58.98","58.98","58.98","price times 2.36 percent","Calculated","CALCULATION"
"Commercial","Refund credit and bad-debt allowance","percent of revenue","1","2","5","Price times scenario rate","Measure in beta; comply with stated refund terms","ASSUMPTION"
"Commercial","Annual refund/credit allowance","INR/family/year","24.99","49.98","124.95","price times rate","Calculated","CALCULATION"
"Economics","Cost of service before acquisition","INR/family/year","643.02","1358.27","4598.53","OCR + AI ingestion + grading + storage + human QC + support + platform + payment + refunds","Calculated; stress case intentionally exposes an unviable usage/operations shape","CALCULATION"
"Economics","Contribution before acquisition","INR/family/year","1855.98","1140.73","-2099.53","price minus cost of service","Calculated","CALCULATION"
"Economics","Contribution margin before acquisition","percent","74.3","45.6","-84.0","contribution divided by price","Calculated; base is below a desirable software-like target because human review/support dominate","CALCULATION"
"Acquisition","Cash CAC","INR/new paying family","300","700","1500","Channel scenario excluding founder labor unless separately time-costed","Measure separately for referrals community groups LinkedIn Facebook/Meta and partnerships","ASSUMPTION"
"Economics","First-year contribution after cash CAC","INR/family","1555.98","440.73","-3599.53","contribution before acquisition minus cash CAC","Calculated","CALCULATION"
"Retention","Annual paid retention","percent","75","60","35","Renewal hypothesis; annual observation will lag the sabbatical","Use second-chapter and exam-cycle repeat as leading indicators","ASSUMPTION"
"Economics","Three-year retained-family factor","year-equivalents","2.3125","1.96","1.4725","1 + retention + retention squared; no discounting and no expansion","Calculated","CALCULATION"
"Economics","Three-year contribution LTV before CAC","INR","4291.95","2235.83","-3091.56","annual contribution times retained-family factor","Calculated; negative stress LTV signals pricing/limits cannot rescue poor operations alone","CALCULATION"
"Economics","LTV to CAC","ratio","14.31","3.19","-2.06","three-year contribution LTV divided by cash CAC","Calculated; base barely clears 3x and depends on unverified retention","CALCULATION"
"Guardrail","Maximum CAC for 3x LTV:CAC","INR","1430.65","745.28","0","three-year contribution LTV divided by 3; floor negative case at zero","Calculated","CALCULATION"
"Price sensitivity","Base-usage contribution margin at INR 1,499 annual price","percent","12.3","12.3","12.3","Base non-payment costs plus 2.36% payment fee and 2% refund allowance; INR 184.33 contribution on INR 1,499","Shows why dirt-cheap annual pricing is unsafe while human operations remain at base levels","CALCULATION"
"Price sensitivity","Base-usage contribution margin at INR 2,499 annual price","percent","45.6","45.6","45.6","INR 1,140.73 contribution on INR 2,499","Recommended test price remains a hypothesis","CALCULATION"
"Price sensitivity","Base-usage contribution margin at INR 3,499 annual price","percent","59.9","59.9","59.9","Base non-payment costs plus 2.36% payment fee and 2% refund allowance; INR 2,097.13 contribution on INR 3,499","Higher margin may reduce conversion against cheap apps/books","CALCULATION"
"Review sensitivity","Base annual cost with risk-based QC at 1 minute per chapter","INR/family/year","998.27","998.27","998.27","Base cost INR 1358.27 minus INR 480 full QC plus INR 120 risk-based QC","Requires POC defect and appeal thresholds; support and CAC unchanged","CALCULATION"
"Review sensitivity","Base annual contribution margin with risk-based QC","percent","60.1","60.1","60.1","INR 2499 minus INR 998.27 divided by INR 2499","Annual price remains a scenario not a launch recommendation","CALCULATION"
"Review sensitivity","Base annual cost with no routine human QC","INR/family/year","878.27","878.27","878.27","Base cost INR 1358.27 minus INR 480 adult QC","Only defensible after automated verification and random audits meet quality thresholds","CALCULATION"
"Review sensitivity","Base annual contribution margin with no routine human QC","percent","64.9","64.9","64.9","INR 2499 minus INR 878.27 divided by INR 2499","Excludes residual random-audit cost","CALCULATION"
"Beta offer","Founding Trial price","INR/30 days","99","99","99","One child next 3 chapters or 30 pages after one free chapter; payment tests checkout and repeat use rather than sustainable WTP","Revised founder validation hypothesis","HYPOTHESIS"
"Beta offer","Cash receipts from 25 first-paying families","INR","2475","2475","2475","25 times INR 99; validation receipts not ARR","Calculated","CALCULATION"
"Beta offer","Second-purchase test","INR/pack","199","299","299","Compare INR 199 for 5 chapters with INR 299 for 10 chapters/100 pages after the INR 99 trial","A second real purchase is stronger willingness-to-pay evidence","HYPOTHESIS"
"Benchmark backlog","Image and OCR pipeline","test","Compressibility and OCR accuracy","Mixed-layout retry rate","Handwriting/table/diagram failure rate","Benchmark pages by publisher subject grade and device camera","OCR list price alone does not predict full ingestion cost","REQUIRED_TEST"
"Benchmark backlog","Question-bank generation","test","Accepted questions per model call","Tokens and retries per chapter","Failure/rework by edition and diagram density","Log tokens latency retries and acceptance after adult QC","A knowledge graph may organize facts but does not remove extraction generation or QC cost","REQUIRED_TEST"
"Benchmark backlog","Subjective grading","test","Model versus adult agreement","Rubric-point precision/recall","Ambiguous answers and appeals","Blind-grade at least 300 authentic responses and adjudicate disagreements","Vendor accuracy claims are not substitutes for product-specific validation","REQUIRED_TEST"
"Benchmark backlog","Human operations","test","QC under 2 min/chapter","QC under 5 min/chapter","QC/support exceeds viable limits","Time-stamp every review support incident and appeal","Human time is the largest controllable base cost","REQUIRED_TEST"
"Benchmark backlog","Retention and seasonality","test","Repeat without prompting","Second chapter and next-test return","Only exam-night usage","Cohort by grade board subject acquisition source and exam calendar","Cannot infer annual retention from a 16-week cohort; report leading indicators honestly","REQUIRED_TEST"
